 From deresol.f
 Units of 1E+4 part/m^3
 0 0 0 1 1 2000TU (hh mm ss), Date (jj mm yyyy)
 12  Number of size bins
 1  0.00499999989  0.00999999978
 2  0.00999999978  0.0199999996
 3  0.0199999996  0.0399999991
 4  0.0399999991  0.0799999982
 5  0.0799999982  0.159999996
 6  0.159999996  0.319999993
 7  0.319999993  0.639999986
 8  0.639999986  1.27999997
 9  1.27999997  2.55999994
 10  2.55999994  5.11999989
 11  5.11999989  10.2399998
 12  10.2399998  20.4799995
 2  Number of X cells
  12.  Size of X cell
 3  Number of Y cells
  12.  Size of Y cell
 10  Number of Z cells
  165.
  180.
  197.
  218.
  246.
  280.
  325.
  389.
  10000.
  18000.
  35.  269.  0.  X0, Y0, Z0
 4  Number of aerosol types
 SULFATE                                                     
 BLACKCARBON                                                 
 SOILDUST                                                    
 SEASALT                                                     
 DATA
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  1
 62667 38352 16104 72023 12861 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  2
 57492 35185 14774 66075 11799 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  3
 52324 32022 13446 60136 10738 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  4
 47172 28869 12122 54214 9681 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  5
 42011 25711 10796 48283 8622 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  6
 36842 22547 9467 42342 7561 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  7
 31679 19387 8141 36409 6501 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  8
 26513 16226 6813 30471 5441 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL:  9
 1774 1774 1774 1774 1774 1774
# AEROSOL TYPE: SULFATE   SIZE BIN:  1 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  1
 166718 102280 43651 195227 34454 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  2
 152950 93833 40046 179104 31608 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  3
 139202 85399 36446 163005 28767 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  4
 125495 76990 32858 146955 25935 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  5
 111765 68567 29263 130877 23097 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  6
 98012 60129 25662 114772 20255 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  7
 84278 51704 22066 98690 17417 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  8
 70534 43272 18467 82596 14577 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL:  9
 4809 4809 4809 4809 4809 4809
# AEROSOL TYPE: SULFATE   SIZE BIN:  2 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  1
 211916 130267 56467 252546 44052 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  2
 194414 119509 51803 231690 40414 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  3
 176939 108767 47147 210864 36782 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  4
 159517 98057 42504 190101 33160 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  5
 142065 87329 37854 169303 29532 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  6
 124583 76583 33196 148469 25898 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  7
 107126 65851 28544 127665 22269 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  8
 89656 55112 23889 106845 18637 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL:  9
 6221 6221 6221 6221 6221 6221
# AEROSOL TYPE: SULFATE   SIZE BIN:  3 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  1
 128695 79234 34860 155912 26882 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  2
 118066 72690 31981 143036 24662 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  3
 107454 66157 29107 130180 22445 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  4
 96873 59642 26241 117361 20235 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  5
 86275 53117 23370 104521 18022 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  6
 75658 46581 20494 91659 15804 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  7
 65057 40054 17622 78815 13589 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  8
 54447 33522 14749 65962 11373 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL:  9
 3841 3841 3841 3841 3841 3841
# AEROSOL TYPE: SULFATE   SIZE BIN:  4 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  1
 37346 23019 10273 45945 7831 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  2
 34261 21118 9424 42150 7184 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  3
 31182 19220 8577 38362 6538 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  4
 28111 17328 7733 34585 5895 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  5
 25036 15432 6887 30801 5250 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  6
 21955 13533 6039 27010 4604 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  7
 18879 11636 5193 23226 3959 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  8
 15800 9739 4346 19438 3313 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  9
 1132 1132 1132 1132 1132 1132
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  1
 5194 3204 1449 6481 1092 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  2
 4765 2939 1330 5946 1002 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  3
 4337 2675 1210 5412 912 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  4
 3910 2412 1091 4879 822 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  5
 3482 2148 972 4345 732 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  6
 3054 1883 852 3810 642 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  7
 2626 1620 733 3276 552 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  8
 2198 1356 613 2742 462 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  9
 159 159 159 159 159 159
