************************************************
*                                              *
*                     imies                    *
*                                              *
*         Mie's calculations for any PSD       *
*     definition, particle type, wavelength    *
*            and relative humidity             *
*                                              *
*     Martin Aube 2000                         *
*                                              *
************************************************
 
 Experiment directory /home/martin/AODSEM/Examples/imies
 Executing intermie...
 Root name for input-output files ?(MAX 40 CHAR):
 Extensions .mie (input file), .mie.out (output file) and  .mie.psd (psd file)
 will be add to the root name.
 Reading input file:test.mie.         ..
 Opening output file:test.mie.out...
 ... Termine.
 Ouverture du fichier psd:test.mie.psd...
 ...Done.
 Reading psd file:test.mie.psd.      ..
 ...Done.


 In how many Sub-bins do you wish to split PSD? (MAX.   5000., MIN 1334)
 Closing psd file.
 Particle shape:
 1)  SPHERE                    EXACT
 Defining size increment...
 ...Done
 Defining size distribution...
 |----------------------------|
 |      SIZE DISTRIBUTION     |
 |-------------|--------------|
 | SIZE PARAM. | PSD          |
 |        0.267|      0.004722|
 |        0.400|      0.012229|
 |        0.533|      0.021933|
 |        0.667|      0.032581|
 |        0.800|      0.043256|
 |        0.933|      0.053385|
 |        1.066|      0.062653|
 |        1.200|      0.070908|
 |        1.333|      0.077974|
 |        1.466|      0.084035|
 |        1.600|      0.089155|
 |        1.733|      0.093413|
 |        1.866|      0.096887|
 |        2.000|      0.099658|
 |        2.133|      0.101803|
 |        2.266|      0.103393|
 |        2.399|      0.104494|
 |        2.533|      0.105118|
 |        2.666|      0.105385|
 |        2.799|      0.105341|
 |        2.933|      0.105027|
 |        3.066|      0.104479|
 |        3.199|      0.103730|
 |        3.333|      0.102809|
 |        3.466|      0.101742|
 |        3.599|      0.100550|
 |        3.732|      0.099244|
 |        3.866|      0.097857|
 |        3.999|      0.096402|
 |        4.132|      0.094894|
 |        4.266|      0.093342|
 |        4.399|      0.091758|
 |        4.532|      0.090149|
 |        4.666|      0.088523|
 |        4.799|      0.086888|
 |        4.932|      0.085248|
 |        5.065|      0.083611|
 |        5.199|      0.081979|
 |        5.332|      0.080358|
 |        5.465|      0.078749|
 |        5.599|      0.077156|
 |        5.732|      0.075580|
 |        5.865|      0.074024|
 |        5.999|      0.072490|
 |        6.132|      0.070981|
 |        6.265|      0.069497|
 |        6.398|      0.068037|
 |        6.532|      0.066602|
 |        6.665|      0.065193|
 |        6.798|      0.063811|
 |        6.932|      0.062455|
 |        7.065|      0.061126|
 |        7.198|      0.059824|
 |        7.332|      0.058552|
 |        7.465|      0.057306|
 |        7.598|      0.056087|
 |        7.731|      0.054894|
 |        7.865|      0.053727|
 |        7.998|      0.052585|
 |        8.131|      0.051469|
 |        8.265|      0.050377|
 |        8.398|      0.049311|
 |        8.531|      0.048271|
 |        8.665|      0.047255|
 |        8.798|      0.046262|
 |        8.931|      0.045292|
 |        9.064|      0.044344|
 |        9.198|      0.043418|
 |        9.331|      0.042513|
 |        9.464|      0.041629|
 |        9.598|      0.040766|
 |        9.731|      0.039925|
 |        9.864|      0.039104|
 |        9.998|      0.038302|
 |       10.131|      0.037518|
 |       10.264|      0.036753|
 |       10.397|      0.036005|
 |       10.531|      0.035275|
 |       10.664|      0.034561|
 |       10.797|      0.033865|
 |       10.931|      0.033186|
 |       11.064|      0.032523|
 |       11.197|      0.031875|
 |       11.331|      0.031242|
 |       11.464|      0.030624|
 |       11.597|      0.030020|
 |       11.730|      0.029429|
 |       11.864|      0.028852|
 |       11.997|      0.028289|
 |       12.130|      0.027739|
 |       12.264|      0.027203|
 |       12.397|      0.026678|
 |       12.530|      0.026165|
 |       12.664|      0.025663|
 |       12.797|      0.025173|
 |       12.930|      0.024694|
 |       13.063|      0.024225|
 |       13.197|      0.023767|
 |       13.330|      0.023321|
 |       13.463|      0.022884|
 |       13.597|      0.022457|
 |       13.730|      0.022039|
 |       13.863|      0.021631|
 |       13.997|      0.021231|
 |       14.130|      0.020840|
 |       14.263|      0.020457|
 |       14.396|      0.020083|
 |       14.530|      0.019718|
 |       14.663|      0.019361|
 |       14.796|      0.019011|
 |       14.930|      0.018669|
 |       15.063|      0.018334|
 |       15.196|      0.018007|
 |       15.330|      0.017686|
 |       15.463|      0.017372|
 |       15.596|      0.017064|
 |       15.729|      0.016764|
 |       15.863|      0.016470|
 |       15.996|      0.016182|
 |       16.129|      0.015901|
