Year Month Day Latitude Longitude Size
1959 7 15 58.62 -110 202.42
1959 7 29 52.4 -123.1 1889.80
1959 7 11 56.601 -116.603 1036.03
1959 7 21 51.6 -123.9 3541.00
1959 6 17 52.1 -123.1 323.70
1959 7 15 56.483 -100.233 663.16
1959 7 23 60.03 -118.77 580.00
1959 6 1 52.2 -123.1 202.30
1959 7 10 52.3 -123 1214.00
1959 7 21 58.57 -109 2226.72
1959 7 10 48.4385 -78.20571 283.00
1959 7 5 51.8 -123.2 2428.10
1959 7 24 56.6 -121 708.20
1959 7 29 47.90679 -77.84683 242.82
1959 7 27 48.59402 -65.04532 1023.88
1959 7 29 56.1 -121.1 776.90
1959 6 28 65.663 -137.245 218.38
1959 7 14 48.72131 -77.57033 323.76
1959 5 19 55.6 -120.7 289.30
1959 6 8 53.602 -104.206 323.88
1959 6 9 66.05 -128.23 3600.00
1959 6 24 63.324 -134.28 23486.67
1959 5 14 56.4 -121.3 424.90
1959 5 18 56 -121.4 579.50
1959 6 25 48.75 -56.68 890.00
1959 6 28 64.583 -139.75 433.05
1959 6 26 63.683 -139.483 269.83
1959 6 23 66.167 -139 290.12
1959 6 18 52.1 -123 323.70
1959 7 8 47.9375 -80.375 239.00
1959 7 12 57.932 -114.2818 649.80
1959 7 3 63.08 -123.92 3600.00
1959 7 10 59.254 -115.6804 1024.70
1959 4 27 55.143 -116.401 317.41
1959 7 10 64.63 -125.2 220.00
1959 7 17 58.17 -106.95 485.82
1959 5 15 57.9126 -115.6702 625.51
1959 7 2 65.55 -139.15 296.96
1959 7 31 52 -122.9 3844.50
1959 7 6 62.63 -113.22 1360.00
1959 7 18 51.7 -124.2 323.70
1959 7 4 63.7 -133.5 2055.84
1959 7 3 58.9 -122.6 36211.30
1959 7 10 61.92 -122.3 280.00
1959 7 28 49.55 -56.85 1178.00
1959 7 8 51.8 -124.5 696.00
1959 5 14 55.609 -116.487 477.73
1959 7 7 59.3 -129.3 615.10
1959 7 20 50.2 -115.2 337.90
1959 6 23 64.572 -140.573 2991.19
1959 7 20 49.81319 -79.26428 283.29
1959 7 8 59.6 -126.6 1553.90
1959 6 19 66.03 -129.85 3440.00
1959 7 26 48.78304 -67.24492 313.64
1959 7 28 49.6 -56.43 10261.00
1959 7 10 51.8 -122.8 242.80
1959 5 20 55.271 -116.004 314.58
1959 5 10 56.6 -122 513.90
1959 5 8 53.634 -108.691 1068.82
1959 5 13 46.65257 -74.15032 453.26
1959 5 22 55.9 -120.9 8660.20
1959 5 12 52.5 -122.3 283.20
1959 5 14 56.416 -118.852 2627.13
1959 5 22 52.598 -100.978 595.14
1959 5 26 49.10056 -64.82147 1821.13
1959 5 17 55.3 -116.408 607.29
1959 5 12 52.3 -123.1 283.20
1959 5 18 57.1 -121.4 2962.30
1959 5 13 55.8 -121.5 1622.70
1959 5 13 56.6 -122.4 602.90
1959 5 22 56.961 -117.345 229.96
1959 5 23 53.856 -109.03 874.49
1959 5 21 56.282 -119.649 696.36
1959 5 12 51.6 -122.2 220.60
1959 5 11 51.8 -123.3 1214.00
1959 4 1 60 -133.6 3205.10
1959 5 16 56.3 -120 258.90
1959 5 12 56.7 -122.5 776.90
1959 5 15 54.462 -111.18 1190.28
1959 5 10 47.4705 -77.31835 263.05
1959 5 30 57.1 -122.9 388.40
1959 5 13 52.1 -121.7 1027.90
1959 5 12 51.5 -122.2 360.10
