tau_inf	H1
0.001	6.65
0.002	6.61
0.003	6.57
0.004	6.52
0.005	6.48
0.006	6.44
0.007	6.40
0.008	6.36
0.009	6.32
0.010	6.28
0.011	6.23
0.012	6.19
0.013	6.15
0.014	6.11
0.015	6.07
0.016	6.03
0.017	5.99
0.018	5.95
0.019	5.91
0.020	5.87
0.021	5.83
0.022	5.79
0.023	5.75
0.024	5.71
0.025	5.67
0.027	5.63
0.028	5.59
0.029	5.56
0.030	5.52
0.031	5.48
0.032	5.44
0.033	5.40
0.034	5.36
0.035	5.32
0.036	5.28
0.037	5.25
0.038	5.21
0.039	5.17
0.040	5.13
0.041	5.09
0.042	5.06
0.043	5.02
0.044	4.98
0.045	4.94
0.046	4.91
0.047	4.87
0.048	4.83
0.049	4.79
0.050	4.76
0.051	4.72
0.052	4.68
0.053	4.65
0.054	4.61
0.055	4.57
0.056	4.54
0.057	4.50
0.058	4.46
0.059	4.43
0.060	4.39
0.061	4.35
0.062	4.32
0.063	4.28
0.064	4.24
0.065	4.21
0.066	4.17
0.067	4.14
0.068	4.10
0.069	4.07
0.070	4.03
0.071	3.99
0.072	3.96
0.073	3.92
0.074	3.89
0.075	3.85
0.076	3.82
0.077	3.78
0.078   3.76
0.079	3.74
0.080	3.71
0.081	3.67
0.082	3.64
0.083	3.60
0.084	3.57
0.085	3.53
0.086	3.50
0.087	3.46
0.088	3.43
0.089	3.39
0.090	3.36
0.091	3.32
0.092	3.29
0.093	3.26
0.094	3.22
0.095	3.19
0.096	3.15
0.097	3.12
0.098	3.08
0.099	3.05
0.100	3.02
0.101	2.98
0.102	2.95
0.103	2.91
0.104	2.88
0.105	2.85
0.106	2.81
0.107	2.78
0.108	2.75
0.109	2.72
0.110	2.68
0.111	2.65
0.112	2.62
0.113	2.59
0.114	2.56
0.115	2.52
0.116	2.49
0.117	2.46
0.118	2.43
0.119	2.40
0.120	2.38
0.121	2.35
0.122	2.32
0.123	2.29
0.124	2.26
0.125	2.24
0.126	2.21
0.127	2.18
0.128	2.16
0.129	2.13
0.130   2.12
0.131	2.11
0.132	2.09
0.133	2.06
0.134	2.04
0.135	2.02
0.136	2.00
0.137	1.98
0.138	1.96
0.139	1.94
